,Number_Tra,num_pole,num_bus,num_subway,num_Encross,num_tree,pop,Vol,NonPed_D,TrafDir_A,TrafDir_T,RW_TYPE_10,RW_TYPE_3,RW_TYPE_4,RW_TYPE_6,RW_TYPE_7,RW_TYPE_8,RW_TYPE_9,BikeLane_1,BikeLane_11,BikeLane_2,BikeLane_3,BikeLane_4,num_ecollisions_B,num_pedS
56,4,0,0,0,0,0,53094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,59869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,0,0,0,0,0,0,51064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,1,0,0,0,6,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,9,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,1,0,0,0,0,14,51064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2,0,0,0,0,1,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,0,0,0,0,2,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,0,0,0,0,2,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,4,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,0,0,0,1,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,4,53094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,53094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,20,53094,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,0,0,0,0,0,53094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
