Id,Reservation Date,Franchisee Name ,Status,Installation Date,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Zipcode,Community Board,Council District
17939,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,1002158,229239,40.795866,-73.9353226,B,E 116th St,1st Ave,Pleasant Ave,,,,,,10029,111,8
17938,12/29/2017,Extenet II,Installed,12/07/2020,CITY,Queens,1007729,198187,40.7106231,-73.9153106,B,Woodward Ave,Starr St,Stanhope St,,,,,,11385,405,34
17937,12/29/2017,Extenet II,Installed,08/30/2021,CITY,Queens,1011390,215318,40.757633,-73.9020362,B,31st Ave,60th St,68th St,,,,,,11377,401,22
17936,12/29/2017,Extenet II,Installed,09/11/2020,CITY,Queens,1015012,219969,40.7703869,-73.888941,B,81st St,21st Ave,Ditmars Blvd,,,,,,11370,480,21
17935,12/29/2017,Extenet II,Installed,08/30/2021,CITY,Queens,1014367,220546,40.7719728,-73.8912671,B,79th St,19th Dr,21st Ave,,,,,,11370,401,22
17934,12/29/2017,Extenet II,Approved,,CITY,Queens,1014885,220885,40.7729015,-73.8893954,B,81st St,19th Ave,21st Ave,,,,,,11371,480,21
17933,12/29/2017,Extenet II,Installed,08/04/2021,CITY,Queens,1022914,197565,40.7088625,-73.8605415,B,75th Ave,Woodhaven Blvd,88th St,,,,,,11385,405,30
17932,12/29/2017,Extenet II,Installed,12/17/2019,CITY,Queens,1030520,198207,40.7105882,-73.8331029,B,Grenfell St,Onslow Pl,82nd Ave,,,,,,11415,409,29
17931,12/29/2017,Extenet II,Installed,04/30/2020,CITY,Queens,1022726,205903,40.7317491,-73.861172,B,97th St,62nd Dr,63rd Rd,,,,,,11374,406,29
17930,12/29/2017,Extenet II,Installed,08/11/2020,CITY,Queens,1001999,210680,40.7449267,-73.9359459,B,Thomson Ave,30th Pl,31st St,,,,,,11101,402,26
17929,12/29/2017,Extenet II,Installed,05/04/2020,CITY,Queens,1001079,210469,40.7443493,-73.9392666,B,28th St,Skillman Ave,47th Ave,,,,,,11101,402,26
17927,12/29/2017,Extenet II,Installed,01/20/2021,CITY,Queens,1003035,221201,40.773802,-73.9321777,B,8th St,27th Ave,Astoria Blvd,,,,,,11102,401,22
17925,12/29/2017,Extenet II,Proposed,,CITY,Queens,1000838,212103,40.7488347,-73.9401323,B,Hunter St,42nd Rd,27th St,,,,,,11101,402,26
17924,12/29/2017,Extenet II,Installed,08/18/2021,CITY,Queens,1000648,211645,40.747578,-73.9408192,B,Jackson Ave,Purves St,Queens St,,,,Long Island City,,11101,402,26
17923,12/29/2017,Extenet II,Proposed,,CITY,Queens,1002345,213697,40.7532069,-73.9346891,B,29th St,39th Ave,40th Ave,,,,,,11101,401,26
17922,12/29/2017,Extenet II,Installed,07/07/2020,CITY,Queens,1006960,217686,40.764145,-73.9180186,B,36th St,30th Ave,31st Ave,,,,,,11103,401,22
17921,12/29/2017,Extenet II,Installed,01/21/2021,CITY,Queens,1009918,218525,40.7664397,-73.9073372,B,45th St,25th Ave,Astoria Blvd S,,,,,,11103,401,22
17920,12/29/2017,Extenet II,Proposed,,CITY,Queens,1008497,219469,40.7690348,-73.9124637,B,Astoria Blvd S,37th St,38th St,,,,,,11103,401,22
17919,12/29/2017,Extenet II,Proposed,,CITY,Queens,1013005,221965,40.7758721,-73.8961783,B,19th Ave,46th St,45th St,,,,,,11105,401,22
17918,12/29/2017,Extenet II,Installed,06/06/2019,CITY,Brooklyn,985539,170985,40.6359908,-73.9953557,B,50th St,12th Ave,11th Ave,,,,,,11219,312,44
17917,12/29/2017,Extenet II,Installed,08/16/2019,CITY,Brooklyn,991862,170076,40.6334926,-73.972575,B,Ocean Pkwy,Ave F,18th Ave,,,,,,11218,314,44
17916,12/29/2017,Extenet II,Approved,,CITY,Brooklyn,998322,170460,40.6345387,-73.9492998,B,Flatbush Ave,E 29th St,E 28th St,,,,Flatbush-Nostrand Junction BID,,11210,314,45
17915,12/29/2017,Extenet II,Installed,07/08/2020,CITY,Brooklyn,984865,147636,40.5719026,-73.9977863,C,W 32nd St,Surf Ave,Dead End,,,,,,11224,313,47
17914,12/31/2017,Crown Castle Fiber,Installed,12/26/2018,CITY,Manhattan,1002220,236767,40.8165281,-73.9350786,B,W 141st St,5th Ave,Chisum Pl,,,,,,10037,110,9
17913,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,987620,194530,40.700616,-73.9878461,B,Prospect St,Pearl St,Adams St,,,,DUMBO,,11201,302,33
17912,12/31/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,1005429,189908,40.687905,-73.9236328,B,Ralph Ave,Madison St,Monroe St,,,,,,11221,303,41
17911,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,1002474,181676,40.6653166,-73.9343102,B,Schenectady Ave,Crown St,Montgomery St,,,,,,11213,309,35
17910,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,1003694,181157,40.6638895,-73.9299141,B,E New York Ave,E 92nd St,E 91st St,,,,,,11212,317,41
17909,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,997423,182694,40.6681197,-73.9525149,B,President St,Rogers Ave,Nostrand Ave,,,,,,11225,309,35
17908,12/22/2017,Crown Castle Fiber,Installed,07/25/2020,CITY,Brooklyn,998294,182305,40.6670507,-73.949376,B,Carroll St,Nostrand Ave,New York Ave,,,,,,11225,309,35
17907,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,994833,177537,40.6539684,-73.9618593,B,Woodruff Ave,Ocean Ave,St Paul's Place,Umma Park,,,,,11226,314,40
17906,12/31/2017,Crown Castle Fiber,Proposed,,CITY,Manhattan,998962,232983,40.8061481,-73.9468573,B,Malcolm X Blvd,W 122nd St,W 123rd St,,Mount Morris Park Historic District,,,,10027,110,9
17905,12/31/2017,Crown Castle Fiber,Installed,03/26/2019,CITY,Manhattan,1000181,232941,40.8060307,-73.9424541,B,5th Ave,E 124th St,E 125th St,,,,,,10035,111,9
17904,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,999865,231748,40.8027568,-73.9435983,B,E 120th St,Madison Ave,5th Ave,,,,,,10035,111,9
17903,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,999397,232659,40.8052581,-73.9452867,B,Mt Morris Park W,W 122nd St,W 123rd St,,Mount Morris Park Historic District,,,,10027,110,9
17902,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,998605,228158,40.7929054,-73.9481571,B,Park Ave,E 106th St,E 104th St,,,,,,10029,111,8
17901,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,998390,229677,40.797075,-73.9489304,B,5th Ave,Duke Ellington Circle,Fulton St,,,,,,10029,111,9
17900,12/22/2017,Crown Castle NG,Approved,,CITY,Manhattan,982247,202300,40.7219432,-74.0072261,A,Laight St,Varick St,Hudson St,,Tribeca North Historic District,,,,10013,101,1
17898,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,993611,177212,40.6530777,-73.9662637,B,Parkside Ave,Parade Pl,Coney Island Ave,,,,,,11226,314,40
17896,12/22/2017,Crown Castle NG,Installed,05/31/2019,CITY,Manhattan,983646,202154,40.7215427,-74.002179,A,Grand St,Greene St,Mercer St,,SoHo-Cast Iron Historic District,,,,10013,102,1
17895,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,991811,177003,40.6525058,-73.972751,B,Prospect Park Southwest,Greenwood Ave,Ocean Pkwy,,,,,,11218,307,39
17894,12/22/2017,Crown Castle NG,Installed,09/23/2019,CITY,Manhattan,984046,198543,40.7116314,-74.0007358,A,Madison St,Pearl St,St James Pl,James Madison Plaza,,,,,10038,103,1
17893,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,992197,176489,40.6510946,-73.9713605,B,Parkside Ave,S Lake Dr,Parade Pl,Parade Ground,,,,,11226,314,40
17892,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,997672,230224,40.7985775,-73.9515225,B,W 111th St,Malcolm X Blvd,5th Ave,,,,,,10026,110,9
17891,12/31/2017,Crown Castle Fiber,Installed,12/26/2018,CITY,Manhattan,1001660,229913,40.7977169,-73.9371195,B,2nd Ave,E 117th St,E 118th St,,,,,,10035,111,8
17890,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,1000096,225534,40.7857007,-73.9427786,B,1st Ave,E 100th St,E 99th St,,,,,MS 224,10029,111,8
17886,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,1001604,227734,40.7917362,-73.9373274,B,E 110th St,A New St,First Ave,,,,,,10029,111,8
17885,12/31/2017,Crown Castle Fiber,Installed,04/09/2020,CITY,Bronx,1010584,246523,40.8432845,-73.9048231,C,E 173rd St,Clay Ave,Anthony Ave,Barry Plaza,,,,,10457,204,16
17884,12/22/2017,Crown Castle Fiber,Approved,,CITY,Bronx,1018440,238687,40.8217501,-73.8764698,B,Story Ave,Boynton Ave,Morrison Ave,,,,,,10473,209,17
17883,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1019603,219264,40.7684347,-73.87237,B,23rd Ave,98th St,99th St,,,,,,11369,403,21
17881,12/31/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,1015958,177836,40.6547386,-73.8857242,B,Cozine Ave,Vermont St,New Jersey Ave,,,,,,11207,305,42
17880,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1002399,217947,40.7648719,-73.9344827,B,14th St,33rd Rd,34th Ave,,,,,,11106,401,22
17879,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1031722,214986,40.7566359,-73.8286488,B,Main St,Sanford Ave,Maple Ave,,,,Downtown Flushing,,11355,407,20
17878,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1018493,213491,40.7525937,-73.8764067,B,35th Ave,91st St,90th St,,,,,,11372,403,25
17876,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1013951,212508,40.749912,-73.8928045,B,73rd St,37th Ave,35th Ave,,,,,,11372,403,25
17875,12/21/2017,Crown Castle NG,Approved,,CITY,Bronx,1008849,245480,40.8404268,-73.9110976,C,E 172nd St,Sheridan Ave,Morris Ave,,,,,WILLIAMS HOWARD TAFT HS HISTORICAL,10457,204,16
17874,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,1000745,236018,40.8144752,-73.9404092,B,Lenox Ave,W 136th St,W 135th St,,,,,,10037,110,9
17873,12/22/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,984385,157081,40.5978273,-73.9995139,B,Cropsey Ave,Bay 29th St,Bay 28th St,Bensonhurst Park,,,,,11214,311,43
17872,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,999605,235799,40.8138762,-73.9445282,B,Adam Clayton Powell Jr Blvd,W 133rd St,W 132nd St,,,,,,10027,110,9
17871,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,996945,231216,40.8013013,-73.9541464,B,Adam Clayton Powell Jr Blvd,W 113th St,W 112th St,,,,,,10026,110,9
17870,12/31/2017,Crown Castle Fiber,Proposed,,CITY,Bronx,1017066,260472,40.8815486,-73.8813275,C,Dekalb Ave,Kossuth Ave,E 208th St,,,,,,10467,207,11
17869,12/31/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,1002339,187466,40.6812091,-73.9347813,B,Lewis Ave,Decatur St,Bainbridge St,,Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District,,,,11233,303,36
17868,12/31/2017,Crown Castle Fiber,Approved,,CITY,Brooklyn,1004772,188109,40.6829687,-73.9260073,B,Patchen Ave,MacDonough St,Decatur St,,,,,,11233,303,41
17867,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1024465,214229,40.7545941,-73.8548476,B,37th Ave,113th St,112th St,,,,,,11368,403,21
17866,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,1001611,235499,40.813049,-73.937282,B,5th Ave,W 136th St,W 135th St,,,,,,10037,111,9
17865,12/31/2017,Crown Castle Fiber,Installed,12/26/2018,CITY,Manhattan,998877,234486,40.8102736,-73.947161,B,Adam Clayton Powell Jr Blvd,W 127th St,W 128th St,,,,,,10027,110,9
17864,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,1000712,230739,40.7999859,-73.9405414,B,Lexington Ave,E 118th St,E 119th St,,,,,,10035,111,8
17863,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,999467,230731,40.7999661,-73.9450382,B,E 116th St,Madison Ave,5th Ave,,,,,,10029,111,9
17862,12/31/2017,Crown Castle Fiber,Installed,02/21/2019,CITY,Bronx,1008109,242510,40.8322771,-73.9137826,C,E 167th St,College Ave,Morris Ave,,,,,BRONX WRITING ACADEMY SCHOOL,10456,204,16
17861,12/31/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,1003159,228685,40.7943433,-73.931709,B,E 116th St,FDR Drive,Pleasant Ave,,,,,MIDDLE SCHOOL 825,10029,111,8
17860,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1025194,213257,40.7519229,-73.8522223,B,114th St,41st Ave,Roosevelt Ave,Grand Central Parkway Extension,,,,,11368,404,21
17859,12/29/2017,Extenet II,Approved,,CITY,Brooklyn,991415,148701,40.5748229,-73.9742082,C,Surf Ave,W 8th St,Sea Breeze Ave,Asser Levy Park,,,,,11224,313,47
17858,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,998413,210482,40.7443897,-73.9488878,B,Jackson Ave,47th Ave,47th Rd,,,,Long Island City,,11101,402,26
17857,12/22/2017,Crown Castle Fiber,Installed,12/26/2018,CITY,Manhattan,998420,241609,40.8298249,-73.9487969,B,W 150th St,Broadway,Riverside Dr,,,,,,10031,109,7
17856,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1004269,211043,40.7459182,-73.9277527,B,43rd Ave,37th St,36th St,,,,,,11101,402,26
17855,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1002603,210586,40.7446674,-73.9337664,B,Thomson Ave,Van Dam St,31st St,,,,,,11101,402,26
17854,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1002071,210349,40.744018,-73.9356869,B,31st St,47th Ave,Thomson Ave,,,,,,11101,402,26
17853,12/31/2017,Crown Castle Fiber,Installed,12/26/2018,CITY,Manhattan,1000728,239726,40.8246526,-73.9404616,B,Frederick Douglass Blvd,W 148th St,W 147th St,,,,,,10039,110,9
17852,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1000981,210201,40.7436139,-73.9396209,B,47th Ave,28th St,27th St,,,,,,11101,402,26
17851,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1014888,212988,40.7512263,-73.8894205,B,35th Ave,77th Ave,76th St,,,,,,11372,403,25
17850,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1023541,210340,40.743924,-73.8582054,B,Corona Ave,104th St,106th St,Corona Health Sanctuary,,,,,11368,404,21
17849,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1031296,199793,40.7149372,-73.8302927,B,78th Crescent,Grand Central Pkwy,Queens Blvd,"Grand Central Parkway Extension,Grand Central Parkway Extension",,,,,11375,406,29
17848,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1014958,212241,40.7491757,-73.8891713,B,37th Ave,77th St,76th St,,,,,,11372,403,25
17847,12/22/2017,Crown Castle Fiber,Installed,12/18/2020,CITY,Queens,1038924,198159,40.7104085,-73.8027899,B,86th Cres,86th Ave,86th Cres/162nd St,,,,,PS 86,11432,408,24
17846,12/22/2017,Crown Castle Fiber,Approved,,CITY,Manhattan,998486,240047,40.8255376,-73.9485617,B,W 145th St,Amsterdam Ave,Broadway,,,,,,10031,109,7
17845,12/22/2017,Crown Castle Fiber,Approved,,CITY,Queens,1038676,195249,40.7024228,-73.8037079,B,Jamaica Ave,150th St,153rd St,Rufus King Park,,,Jamaica Center BID,,11432,412,24
